,--aud,--constrained-intra,--intra-refresh,--no-asm,--slow-firstpass,--weightb,--aq-strength,--ipratio,--pbratio,--psy-rd,--qblur,--qcomp,--vbv-init,--aq-mode,--b-adapt,--bframes,--crf,--keyint,--lookahead-threads,--min-keyint,--qp,--qpstep,--qpmin,--qpmax,--rc-lookahead,--ref,--vbv-bufsize,--deblock,--me,--overscan,--preset,--scenecut,--tune
63,--aud,--constrained-intra,,,,--weightb,1.0,1.4,1.4,1.2,0.5,0.8,0.2,0,2,0,50,260,3,29,30,3,3,68,28,5,1000,-1:-1,umh,show,veryslow,30,grain
64,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,0.5,1.0,1.4,4.8,0.5,0.6,0.0,0,1,0,30,220,3,27,20,4,4,61,38,2,2000,-1:-1,hex,show,slower,40,grain
65,,,,--no-asm,--slow-firstpass,--no-weightb,0.0,1.1,1.1,3.0,0.3,0.7,0.9,2,2,4,35,210,3,25,40,3,2,60,38,3,1000,-2:-2,hex,show,placebo,10,grain
66,--aud,--constrained-intra,,,--slow-firstpass,--weightb,3.0,1.6,1.3,2.6,0.5,0.6,0.4,0,1,12,40,230,4,30,30,3,3,61,28,1,2000,-2:-2,umh,crop,fast,30,ssim
67,,,,,,--weightb,0.0,1.1,1.3,0.8,0.4,0.9,0.0,1,0,8,20,290,2,24,30,4,2,66,38,4,1000,1:1,dia,show,medium,0,ssim
68,--aud,,--intra-refresh,,,--weightb,2.5,1.6,1.3,0.4,0.5,0.7,0.2,2,1,16,25,230,0,26,30,3,1,62,18,1,1000,1:1,umh,show,ultrafast,0,animation
69,--aud,--constrained-intra,,,--slow-firstpass,--weightb,2.5,1.1,1.1,3.2,0.5,0.9,0.1,0,2,4,30,290,0,21,0,5,1,68,48,3,1000,-1:-1,dia,crop,faster,30,grain
70,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,3.0,1.5,1.2,0.2,0.5,0.9,0.8,1,2,6,30,220,3,22,30,5,4,66,18,3,2000,1:1,hex,show,slower,0,ssim
71,--aud,--constrained-intra,,,,--no-weightb,3.0,1.2,1.3,0.6,0.5,0.7,0.5,3,2,8,35,210,2,28,0,3,1,65,38,3,1000,-1:-1,dia,crop,fast,10,ssim
72,,--constrained-intra,,,,--no-weightb,0.5,1.1,1.4,2.8,0.4,0.9,0.7,2,2,2,25,270,2,25,40,3,0,68,48,2,2000,-1:-1,dia,crop,faster,10,ssim
73,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,3.0,1.0,1.2,1.4,0.5,0.7,0.9,1,2,10,10,240,2,22,10,3,0,61,28,3,2000,-1:-1,dia,crop,veryslow,40,grain
74,,,,--no-asm,--slow-firstpass,--weightb,3.0,1.6,1.2,4.2,0.2,0.8,0.1,3,2,2,30,220,3,29,40,4,0,65,28,4,1000,1:1,dia,crop,fast,10,animation
75,--aud,--constrained-intra,,,,--no-weightb,3.0,1.4,1.1,4.4,0.5,0.8,0.4,3,1,2,5,240,4,23,50,3,1,64,48,5,1000,-2:-2,hex,crop,veryslow,40,animation
76,,,,--no-asm,,--no-weightb,0.5,1.0,1.0,1.8,0.3,0.9,0.2,2,2,12,10,260,2,22,10,4,1,65,38,3,1000,-1:-1,dia,show,placebo,10,animation
77,--aud,--constrained-intra,,--no-asm,,--no-weightb,3.0,1.1,1.0,4.8,0.5,0.6,0.7,3,2,6,30,210,3,29,30,5,2,63,38,4,2000,-1:-1,umh,crop,slower,30,grain
78,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,1.5,1.3,1.0,4.4,0.3,0.7,0.8,0,1,6,20,200,1,26,0,4,4,60,18,1,1000,-2:-2,dia,crop,faster,0,psnr
79,--aud,,,,,--weightb,1.0,1.2,1.3,1.8,0.4,0.7,0.0,1,1,14,25,240,4,24,0,5,3,60,28,3,2000,-1:-1,umh,show,superfast,0,psnr
80,--aud,,,--no-asm,,--no-weightb,2.0,1.2,1.0,0.8,0.3,0.6,0.7,1,1,8,5,210,1,29,40,3,2,66,18,2,2000,1:1,dia,show,placebo,0,grain
81,,,,--no-asm,--slow-firstpass,--weightb,2.5,1.2,1.2,2.6,0.6,0.8,0.2,0,2,16,50,230,3,24,30,4,3,66,18,3,2000,-1:-1,umh,show,fast,0,grain
82,,,,,--slow-firstpass,--weightb,2.0,1.5,1.0,4.4,0.3,0.8,0.0,1,2,2,25,240,4,26,0,3,0,69,28,4,1000,-1:-1,dia,crop,faster,0,psnr
83,,,,,,--no-weightb,1.0,1.5,1.2,0.8,0.2,0.9,0.3,2,2,8,50,300,3,27,40,5,4,60,48,2,1000,-2:-2,dia,crop,slow,40,animation
84,--aud,,,,,--weightb,0.0,1.3,1.1,5.0,0.5,0.7,0.6,2,0,0,25,230,2,22,40,3,1,61,18,6,2000,-2:-2,hex,crop,veryfast,40,grain
85,,--constrained-intra,,,--slow-firstpass,--no-weightb,1.0,1.5,1.2,2.6,0.4,0.6,0.7,3,2,10,50,200,1,29,0,4,4,63,18,1,1000,-2:-2,umh,crop,slow,10,grain
86,--aud,--constrained-intra,,,--slow-firstpass,--no-weightb,3.0,1.4,1.4,4.6,0.3,0.7,0.2,1,1,10,25,270,1,30,0,4,4,64,38,1,1000,-1:-1,dia,show,superfast,30,ssim
87,,,,,--slow-firstpass,--no-weightb,3.0,1.3,1.1,5.0,0.2,0.7,0.1,3,2,0,30,240,0,24,10,4,4,63,28,4,1000,-1:-1,umh,show,placebo,40,psnr
88,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,0.0,1.3,1.2,0.8,0.3,0.6,0.1,1,2,12,35,300,0,27,30,5,4,66,38,4,2000,-2:-2,dia,crop,placebo,0,animation
89,,,,--no-asm,--slow-firstpass,--no-weightb,0.0,1.5,1.0,1.2,0.5,0.7,0.3,3,2,8,15,200,3,25,20,4,1,65,48,6,2000,1:1,hex,crop,slow,40,psnr
90,,,,,,--weightb,1.5,1.2,1.0,3.2,0.2,0.9,0.9,1,0,12,40,230,0,24,20,4,2,62,48,3,2000,-2:-2,umh,crop,medium,10,psnr
91,,--constrained-intra,,,--slow-firstpass,--weightb,3.0,1.0,1.1,1.6,0.5,0.9,0.8,3,2,4,25,240,2,21,30,5,3,65,38,2,1000,1:1,dia,crop,medium,40,psnr
92,--aud,,,--no-asm,,--weightb,3.0,1.2,1.1,3.4,0.2,0.6,0.0,2,2,6,15,240,3,20,0,4,2,67,18,6,1000,1:1,dia,crop,slow,40,psnr
93,--aud,,,,--slow-firstpass,--weightb,1.0,1.5,1.2,1.2,0.3,0.8,0.6,1,1,6,10,260,1,23,20,5,4,67,38,3,2000,-2:-2,umh,crop,fast,30,animation
94,--aud,,,,--slow-firstpass,--no-weightb,2.5,1.1,1.2,0.4,0.6,0.6,0.4,0,0,12,50,300,0,27,10,3,2,67,38,3,2000,-2:-2,umh,show,superfast,10,animation
95,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,0.5,1.0,1.2,1.2,0.3,0.8,0.1,2,1,14,25,260,0,27,40,3,3,63,48,1,1000,1:1,umh,crop,slow,30,grain
96,--aud,,,,,--no-weightb,1.0,1.5,1.4,2.6,0.3,0.9,0.5,1,0,2,5,240,1,23,50,3,4,64,38,2,1000,-1:-1,hex,show,veryfast,30,ssim
97,--aud,,,,--slow-firstpass,--weightb,2.0,1.1,1.0,3.2,0.2,0.6,0.5,2,1,10,45,260,0,28,50,3,3,63,38,1,1000,-1:-1,dia,crop,slower,40,psnr
98,,,,--no-asm,--slow-firstpass,--no-weightb,2.0,1.5,1.0,4.2,0.5,0.7,0.4,2,0,6,50,270,3,28,0,3,1,67,48,4,2000,1:1,umh,show,veryslow,10,grain
99,--aud,--constrained-intra,,,--slow-firstpass,--no-weightb,0.5,1.2,1.1,3.6,0.5,0.8,0.5,0,0,16,15,270,0,27,0,5,2,62,38,4,2000,1:1,hex,show,ultrafast,30,grain
100,--aud,,,--no-asm,,--no-weightb,2.0,1.5,1.4,2.0,0.5,0.6,0.8,2,1,10,20,250,4,27,50,4,0,68,38,6,1000,1:1,hex,show,faster,40,psnr
101,--aud,,,--no-asm,,--weightb,1.5,1.4,1.0,1.0,0.2,0.8,0.2,1,2,6,25,260,2,21,30,5,0,62,18,3,1000,-1:-1,dia,crop,faster,40,animation
102,,--constrained-intra,,,,--no-weightb,1.5,1.0,1.4,2.2,0.5,0.7,0.5,3,0,6,50,260,1,21,40,5,3,64,38,1,1000,-2:-2,umh,show,slow,40,grain
103,--aud,,,--no-asm,--slow-firstpass,--no-weightb,1.0,1.2,1.0,4.2,0.6,0.6,0.8,3,1,4,15,270,2,25,10,3,0,64,38,4,2000,-1:-1,dia,show,veryslow,10,psnr
104,,--constrained-intra,,,,--weightb,3.0,1.1,1.3,2.6,0.2,0.7,0.8,0,2,8,25,290,2,26,0,3,3,61,38,3,1000,-2:-2,dia,show,veryfast,10,psnr
105,,,,,,--no-weightb,1.0,1.0,1.2,1.6,0.6,0.9,0.8,3,2,10,35,220,4,27,30,3,1,60,18,5,1000,1:1,dia,crop,ultrafast,40,animation
106,--aud,,,--no-asm,--slow-firstpass,--no-weightb,2.0,1.1,1.1,3.2,0.5,0.7,0.9,3,0,16,15,250,1,24,10,3,0,66,18,3,2000,-1:-1,umh,show,superfast,40,grain
107,,,,,--slow-firstpass,--weightb,0.5,1.2,1.1,1.6,0.3,0.7,0.6,0,0,4,45,260,3,30,30,4,4,69,18,5,2000,1:1,dia,crop,faster,30,grain
108,--aud,--constrained-intra,,,--slow-firstpass,--no-weightb,3.0,1.3,1.1,4.4,0.6,0.6,0.9,3,1,10,25,210,3,24,50,5,1,61,48,3,1000,-1:-1,umh,crop,placebo,0,animation
109,--aud,--constrained-intra,,--no-asm,,--weightb,0.0,1.1,1.2,1.2,0.5,0.7,0.3,1,1,2,35,220,2,21,0,4,0,66,38,6,2000,1:1,umh,crop,slow,0,animation
110,--aud,--constrained-intra,,,--slow-firstpass,--no-weightb,2.5,1.3,1.3,0.6,0.2,0.7,0.2,0,2,4,5,270,3,24,50,4,2,61,28,5,2000,-1:-1,hex,show,ultrafast,10,ssim
111,--aud,,,--no-asm,,--weightb,0.0,1.3,1.3,3.8,0.2,0.9,0.5,1,0,14,40,230,1,22,50,5,4,63,18,2,2000,1:1,hex,crop,medium,10,grain
112,--aud,--constrained-intra,,,--slow-firstpass,--weightb,1.0,1.0,1.2,3.4,0.6,0.9,0.4,1,0,4,20,220,0,23,50,3,2,68,38,4,1000,-1:-1,dia,show,medium,10,ssim
113,--aud,,,,,--weightb,0.0,1.2,1.1,4.6,0.5,0.6,0.3,1,0,16,45,270,2,24,50,3,3,60,28,5,2000,1:1,hex,show,veryslow,30,animation
114,--aud,,,,--slow-firstpass,--no-weightb,2.0,1.5,1.1,3.6,0.3,0.8,0.2,3,1,14,10,270,1,20,20,3,3,60,38,2,2000,1:1,umh,show,veryslow,0,ssim
115,--aud,,,,--slow-firstpass,--weightb,2.0,1.5,1.0,0.8,0.6,0.6,0.5,1,0,4,25,280,2,26,0,5,4,62,48,3,2000,-2:-2,hex,show,fast,30,ssim
116,--aud,,,,,--no-weightb,0.0,1.6,1.3,0.4,0.4,0.6,0.0,0,0,0,0,250,1,27,20,4,3,60,18,2,2000,-1:-1,hex,crop,veryfast,10,animation
117,,--constrained-intra,,--no-asm,,--no-weightb,2.5,1.6,1.4,2.2,0.2,0.7,0.7,2,0,2,35,270,1,20,40,3,2,63,48,4,2000,-2:-2,umh,crop,veryslow,40,grain
118,,--constrained-intra,,--no-asm,,--weightb,1.0,1.6,1.0,1.0,0.4,0.6,0.7,2,2,8,20,260,1,29,50,3,2,62,38,1,2000,-2:-2,hex,crop,superfast,40,animation
119,,--constrained-intra,,--no-asm,,--weightb,1.0,1.3,1.0,4.8,0.4,0.8,0.1,2,2,14,40,210,1,28,40,5,0,65,48,4,1000,-2:-2,dia,show,slower,40,grain
120,,,,,--slow-firstpass,--weightb,0.5,1.1,1.0,3.4,0.4,0.9,0.8,1,1,2,20,250,1,25,0,3,3,63,48,3,1000,-1:-1,dia,crop,slow,30,grain
121,--aud,--constrained-intra,,,--slow-firstpass,--weightb,2.0,1.1,1.2,2.8,0.6,0.8,0.0,2,0,0,0,290,3,23,30,4,1,69,48,2,1000,-1:-1,umh,show,slower,30,animation
122,,--constrained-intra,,--no-asm,,--weightb,2.0,1.6,1.4,1.8,0.5,0.8,0.6,1,1,6,30,200,1,26,20,5,0,68,18,3,1000,1:1,umh,crop,faster,10,grain
123,--aud,--constrained-intra,,,,--no-weightb,0.0,1.3,1.2,1.2,0.2,0.6,0.7,3,0,16,20,260,4,23,0,5,3,65,48,3,2000,-1:-1,hex,crop,fast,30,psnr
124,--aud,,,--no-asm,,--weightb,1.5,1.0,1.3,0.8,0.3,0.8,0.7,3,0,16,40,250,3,29,0,3,0,62,48,6,2000,-2:-2,umh,show,veryslow,10,psnr
125,--aud,,,,,--no-weightb,0.5,1.2,1.0,1.0,0.6,0.7,0.5,0,2,12,10,200,4,25,20,3,1,63,48,1,1000,-2:-2,umh,crop,veryslow,40,animation
126,--aud,,,,--slow-firstpass,--weightb,1.5,1.4,1.1,0.4,0.5,0.8,0.2,0,2,8,5,280,1,21,20,3,2,61,38,2,1000,-1:-1,umh,show,slow,10,grain
127,,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,3.0,1.1,1.4,1.4,0.3,0.6,0.5,2,2,4,20,240,4,24,0,3,0,63,38,6,2000,-1:-1,hex,show,fast,30,ssim
128,,--constrained-intra,,--no-asm,,--weightb,2.0,1.3,1.2,3.4,0.5,0.7,0.4,0,2,12,30,280,0,28,50,3,2,60,28,3,2000,-1:-1,hex,crop,fast,40,ssim
129,--aud,,,,,--no-weightb,3.0,1.6,1.1,1.4,0.3,0.9,0.1,3,1,2,45,260,1,27,40,4,3,60,18,6,2000,-1:-1,hex,show,ultrafast,30,ssim
130,,,,,,--weightb,1.5,1.0,1.4,0.2,0.3,0.7,0.8,3,2,2,5,250,0,30,10,4,3,64,48,2,1000,-2:-2,hex,show,faster,30,animation
131,--aud,,,--no-asm,--slow-firstpass,--weightb,0.5,1.4,1.1,3.6,0.6,0.9,0.1,3,0,4,0,220,0,22,50,3,0,66,38,5,2000,1:1,dia,show,slower,10,psnr
132,,--constrained-intra,,,,--weightb,2.5,1.3,1.1,2.8,0.5,0.6,0.4,0,0,8,10,270,1,21,0,3,0,61,48,3,1000,-2:-2,dia,crop,superfast,0,animation
133,--aud,,,--no-asm,,--weightb,1.0,1.2,1.4,3.6,0.2,0.6,0.5,2,1,8,20,270,2,27,40,4,4,67,18,4,2000,-1:-1,umh,show,ultrafast,40,grain
